Index(i),P_level(i),Tau_level(i),P_layer(i-1/2),Height_layer(i-1/2),T_layer(i-1/2),PWF_layer(i-1/2)   ,TWF_layer(i-1/2)  , log_e(P_level(i)/P_level(i-1))=delta(lnP)(i-1/2)
0,0.005,1,,,,,,
1,0.01606,1,0.00896,81.45132,195.01938,0,0,1.16689
2,0.03838,1,0.02483,74.31635,208.18756,0,0,0.8712
3,0.07688,1,0.05432,68.83647,219.99188,0,0,0.69471
4,0.13695,1,0.10261,64.38416,231.51196,0,0,0.57737
5,0.22441,0.99999,0.17531,60.63483,242.05115,0.00001,0.00001,0.49386
6,0.3454,0.99999,0.27841,57.39705,251.51303,0.00002,0.00002,0.43123
7,0.50637,0.99997,0.41822,54.54866,259.68182,0.00004,0.00004,0.38256
8,0.71402,0.99995,0.6013,52.00706,266.02362,0.00007,0.00007,0.34364
9,0.97527,0.9999,0.83449,49.71297,269.7301,0.00014,0.00014,0.3118
10,1.29724,0.99983,1.12479,47.62325,268.96832,0.00025,0.00025,0.28528
11,1.6872,0.99972,1.47943,45.70483,264.48294,0.00044,0.00044,0.26283
12,2.15257,0.99953,1.90573,43.93237,259.13086,0.00076,0.00076,0.24359
13,2.7009,0.99925,2.4112,42.28556,254.16162,0.00125,0.00125,0.22692
14,3.33981,0.99883,3.00341,40.74819,249.61081,0.00199,0.00199,0.21233
15,4.07704,0.99821,3.69006,39.30693,245.39215,0.00308,0.00308,0.19946
16,4.92036,0.99734,4.47889,37.9508,241.49313,0.00465,0.00465,0.18801
17,5.87762,0.99612,5.37774,36.67055,237.88159,0.00684,0.00685,0.17777
18,6.95669,0.99446,6.39444,35.45842,234.47745,0.00987,0.00988,0.16855
19,8.16548,0.99223,7.53689,34.30776,231.3541,0.01394,0.01395,0.16021
20,9.51189,0.98929,8.81301,33.21282,229.19284,0.01925,0.01926,0.15263
21,11.00384,0.9855,10.2307,32.16868,227.89111,0.02602,0.02604,0.1457
22,12.64922,0.98067,11.79788,31.17099,226.70215,0.03464,0.03466,0.13935
23,14.45594,0.9746,13.52244,30.21597,225.70381,0.04543,0.04546,0.13351
24,16.43183,0.96708,15.41225,29.30029,224.83215,0.05874,0.05878,0.12811
25,18.58473,0.95785,17.47516,28.42096,224.00577,0.07498,0.07502,0.12312
26,20.92241,0.94665,19.71896,27.57536,223.23209,0.0945,0.09455,0.11848
27,23.45258,0.93322,22.1514,26.76112,222.4968,0.11762,0.11769,0.11416
28,26.18292,0.9173,24.78017,25.97612,221.78516,0.14462,0.1447,0.11013
29,29.12101,0.89862,27.61291,25.21844,221.0882,0.17565,0.17574,0.10635
30,32.27438,0.87695,30.65718,24.48636,220.40758,0.21074,0.21084,0.10281
31,35.65047,0.85211,33.92044,23.7783,219.75052,0.2497,0.24982,0.09949
32,39.25663,0.82396,37.41012,23.09284,219.116,0.29213,0.29226,0.09636
33,43.10014,0.79244,41.13353,22.42866,218.50351,0.3374,0.33755,0.09341
34,47.18817,0.75759,45.09786,21.78458,217.91159,0.38457,0.38473,0.09062
35,51.52779,0.71955,49.31027,21.1595,217.36557,0.43241,0.43259,0.08798
36,56.12595,0.67857,53.77776,20.55241,216.90735,0.47938,0.47957,0.08548
37,60.98953,0.63508,58.50721,19.96238,216.69998,0.52334,0.52354,0.0831
38,66.12526,0.58959,63.50549,19.38854,216.7,0.56269,0.56291,0.08085
39,71.53976,0.54265,68.77926,18.83011,216.70001,0.59643,0.59666,0.0787
40,77.23956,0.49489,74.33507,18.28635,216.7,0.62307,0.62331,0.07666
41,83.23102,0.44697,80.17934,17.75657,216.69998,0.64132,0.64157,0.07471
42,89.52039,0.39961,86.31843,17.24013,216.7,0.65021,0.65046,0.07285
43,96.1138,0.35347,92.75854,16.73643,216.7,0.64917,0.64942,0.07107
44,103.01724,0.30921,99.50565,16.24493,216.7,0.63809,0.63834,0.06936
45,110.23656,0.2674,106.56576,15.76509,216.70001,0.61735,0.61759,0.06773
46,117.77748,0.22851,113.94467,15.29644,216.70001,0.58779,0.58802,0.06617
47,125.64556,0.1929,121.64796,14.83851,216.7,0.55064,0.55085,0.06467
48,133.84624,0.16081,129.68111,14.39088,216.7,0.50749,0.50769,0.06323
49,142.3848,0.13236,138.0495,13.95314,216.70001,0.46008,0.46026,0.06184
50,151.26637,0.10753,146.75839,13.52491,216.7,0.41027,0.41043,0.06051
51,160.49594,0.08622,155.81284,13.10584,216.7,0.35985,0.35999,0.05923
52,170.07835,0.06822,165.21762,12.69558,216.70001,0.31044,0.31056,0.05799
53,180.01828,0.05326,174.97771,12.29382,216.7,0.26343,0.26353,0.0568
54,190.32027,0.04102,185.09763,11.90024,216.7,0.21989,0.21998,0.05565
55,200.98866,0.03117,195.58168,11.51458,216.71133,0.18057,0.18064,0.05454
56,212.02771,0.02337,206.43442,11.13655,216.73978,0.14589,0.14595,0.05347
57,223.44147,0.01729,217.65987,10.76589,216.77328,0.11599,0.11603,0.05243
58,235.23381,0.01263,229.2619,10.40237,217.53333,0.09057,0.09061,0.05143
59,247.40851,0.00912,241.24434,10.04576,219.34213,0.06947,0.0695,0.05046
60,259.96915,0.00652,253.61107,9.69582,221.44212,0.05255,0.05258,0.04952
61,272.91913,0.00461,266.36548,9.35234,223.51149,0.03927,0.03929,0.04861
62,286.26172,0.00323,279.51093,9.01514,225.5569,0.02899,0.02901,0.04773
63,300,0.00224,293.05038,8.68402,227.57083,0.02115,0.02116,0.04688
64,314.13693,0.00153,306.98709,8.35879,229.567,0.01526,0.01527,0.04605
65,328.67529,0.00104,321.32385,8.03928,231.57112,0.01088,0.01089,0.04524
66,343.61765,0.0007,336.06342,7.72533,233.565,0.00767,0.00768,0.04446
67,358.96649,0.00047,351.20834,7.41677,235.52835,0.00535,0.00535,0.0437
68,374.72409,0.00031,366.76077,7.11346,237.48349,0.0037,0.0037,0.04296
69,390.89258,0.0002,382.72296,6.81525,239.42734,0.00253,0.00253,0.04224
70,407.47385,0.00013,399.09717,6.52199,241.33867,0.00171,0.00171,0.04154
71,424.46979,0.00008,415.88504,6.23357,243.23877,0.00114,0.00114,0.04086
72,441.88193,0.00005,433.08844,5.94983,245.13454,0.00076,0.00076,0.0402
73,459.71182,0.00003,450.70871,5.67068,247.00583,0.0005,0.0005,0.03956
74,477.96072,0.00002,468.74762,5.39598,248.85406,0.00033,0.00033,0.03893
75,496.62979,0.00001,487.20569,5.12562,250.69617,0.00021,0.00021,0.03832
76,515.71997,0.00001,506.08499,4.8595,252.52597,0.00013,0.00013,0.03772
77,535.23218,0.00001,525.38562,4.5975,254.32721,0.00009,0.00009,0.03714
78,555.16693,0,545.10822,4.33954,256.11679,0.00005,0.00005,0.03657
79,575.52484,0,565.25415,4.0855,257.90149,0.00003,0.00003,0.03601
80,596.30615,0,585.8233,3.8353,259.66571,0.00002,0.00002,0.03547
81,617.51117,0,606.81622,3.58885,261.40448,0.00001,0.00001,0.03494
82,639.13977,0,628.23242,3.34606,263.13751,0.00001,0.00001,0.03443
83,661.19196,0,650.07239,3.10684,264.86526,0.00001,0.00001,0.03392
84,683.6673,0,672.33582,2.87112,266.56796,0,0,0.03343
85,706.56543,0,695.02191,2.63882,268.25061,0,0,0.03294
86,729.88574,0,718.13068,2.40987,269.92865,0,0,0.03247
87,753.6275,0,741.66187,2.18417,271.5979,0,0,0.03201
88,777.78973,0,765.61346,1.96169,273.24359,0,0,0.03156
89,802.3714,0,789.98486,1.74233,274.87167,0,0,0.03112
90,827.37128,0,814.77527,1.52604,276.49524,0,0,0.03068
91,852.78802,0,839.98346,1.31275,278.10944,0,0,0.03026
92,878.62012,0,865.60748,1.10241,279.70111,0,0,0.02984
93,904.86591,0,891.64661,0.89494,281.27576,0,0,0.02943
94,931.52356,0,918.09808,0.6903,282.84879,0,0,0.02903
95,958.59113,0,944.96027,0.48843,284.41592,0,0,0.02864
96,986.06659,0,972.23187,0.28927,285.96259,0,0,0.02826
97,1013.94763,0,999.90997,0.09277,287.48822,0,0,0.02788
98,1042.23193,0,1027.99219,-0.10111,288.99335,0,0,0.02751
99,1070.91699,0,1056.47705,-0.29244,290.47849,0,0,0.02715
100,1100,0,1085.36096,-0.48125,291.94464,0,0,0.02679
